/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'green', None, None, None)
 -- right : 0.97
 -- left : 0.00

('forward', 'green', 'forward', 'forward', None)
 -- forward : 2.15
 -- None : 0.00
 -- right : 0.15
 -- left : 0.52

('forward', 'red', 'forward', 'left', 'left')
 -- forward : -20.36
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'forward', None)
 -- forward : -19.80
 -- None : 1.17
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'right', 'right')
 -- forward : -4.69
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'right', 'right')
 -- forward : -20.33
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'forward', 'left')
 -- forward : 0.00
 -- None : -2.61
 -- right : 0.00
 -- left : 0.83

('forward', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.12
 -- left : 0.00

('left', 'green', 'left', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None, 'forward')
 -- forward : 2.19
 -- None : -5.04
 -- right : 0.85
 -- left : 0.72

('right', 'red', 'left', 'forward', None)
 -- forward : 0.00
 -- None : 1.19
 -- right : 0.00
 -- left : -29.60

('right', 'green', 'forward', 'left', 'left')
 -- forward : -0.19
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.31
 -- left : 0.00

('left', 'red', None, None, 'forward')
 -- forward : -5.02
 -- None : 1.73
 -- right : 0.89
 -- left : -10.24

('right', 'green', None, 'left', 'left')
 -- forward : -0.00
 -- None : -3.35
 -- right : 2.25
 -- left : 0.00

('left', 'red', None, 'forward', 'forward')
 -- forward : 0.00
 -- None : 1.69
 -- right : 0.00
 -- left : -30.10

('left', 'red', None, 'right', None)
 -- forward : 0.00
 -- None : 1.61
 -- right : 0.00
 -- left : -4.55

('right', 'green', 'right', 'forward', None)
 -- forward : 0.00
 -- None : -2.44
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, None, None)
 -- forward : -9.24
 -- None : 1.94
 -- right : 0.76
 -- left : -10.31

('left', 'red', 'forward', 'right', None)
 -- forward : -19.66
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, 'right', None)
 -- forward : 0.15
 -- None : 0.00
 -- right : 0.00
 -- left : 2.07

('left', 'green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : -0.29
 -- left : 0.67

('left', 'green', None, 'left', 'left')
 -- forward : 0.09
 -- None : -3.92
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- None : -2.68
 -- right : 0.00
 -- left : 0.76

('left', 'red', 'left', None, 'forward')
 -- forward : -5.46
 -- None : 2.27
 -- right : -0.18
 -- left : 0.00

('forward', 'red', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.09
 -- left : 0.00

('left', 'red', 'forward', None, 'forward')
 -- forward : -19.96
 -- None : 2.18
 -- right : -17.70
 -- left : -29.67

('right', 'green', 'forward', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.42

('forward', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- None : 1.30
 -- right : 0.83
 -- left : 0.00

('left', 'red', 'left', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.64
 -- left : 0.00

('right', 'red', None, 'left', 'forward')
 -- forward : -5.32
 -- None : 0.20
 -- right : 0.00
 -- left : -5.17

('forward', 'red', 'forward', 'left', None)
 -- forward : -20.31
 -- None : 1.70
 -- right : -10.11
 -- left : -30.20

('forward', 'red', 'forward', None, 'forward')
 -- forward : 0.00
 -- None : 1.89
 -- right : -9.57
 -- left : 0.00

('right', 'green', 'forward', 'forward', 'left')
 -- forward : 0.48
 -- None : -2.21
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- None : 2.11
 -- right : 0.00
 -- left : -4.83

('left', 'green', None, 'left', None)
 -- forward : 0.60
 -- None : 0.00
 -- right : 0.45
 -- left : 1.62

('right', 'green', None, 'forward', None)
 -- forward : 0.57
 -- None : -2.91
 -- right : 0.44
 -- left : 0.96

('left', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.94
 -- right : 0.00
 -- left : -5.45

('right', 'red', 'right', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -4.55

('right', 'green', None, 'left', None)
 -- forward : 0.00
 -- None : -2.19
 -- right : 1.77
 -- left : 0.33

('right', 'green', None, 'forward', 'forward')
 -- forward : 0.24
 -- None : 0.00
 -- right : 0.69
 -- left : 0.00

('left', 'red', 'right', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.52
 -- left : 0.00

('left', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.81
 -- left : 0.00

('right', 'red', 'forward', 'forward', 'left')
 -- forward : -19.84
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'left', None)
 -- forward : -30.20
 -- None : 2.24
 -- right : -10.21
 -- left : -19.82

('forward', 'green', None, 'forward', 'forward')
 -- forward : 0.00
 -- None : -2.20
 -- right : 0.37
 -- left : -0.06

('left', 'green', None, 'forward', 'left')
 -- forward : 0.57
 -- None : -2.76
 -- right : 0.00
 -- left : 2.10

('forward', 'green', 'forward', 'left', 'right')
 -- forward : 2.15
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'right', 'left')
 -- forward : 0.00
 -- None : 1.71
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', None, 'forward')
 -- forward : -7.79
 -- None : 0.00
 -- right : 0.00
 -- left : -4.59

('forward', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- None : -2.87
 -- right : 0.95
 -- left : 0.00

('left', 'green', 'left', None, 'right')
 -- forward : 0.77
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'left', 'left')
 -- forward : 0.00
 -- None : -2.62
 -- right : 0.00
 -- left : 1.42

('left', 'red', None, 'left', None)
 -- forward : -8.55
 -- None : 2.20
 -- right : 0.81
 -- left : -8.54

('forward', 'green', 'left', 'left', 'forward')
 -- forward : 0.73
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'forward', None)
 -- forward : 0.69
 -- None : -5.03
 -- right : 1.24
 -- left : 2.46

('right', 'red', None, 'left', None)
 -- forward : -7.19
 -- None : 0.74
 -- right : 2.15
 -- left : -7.25

('forward', 'red', None, 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.48
 -- left : -4.85

('forward', 'red', None, None, 'right')
 -- forward : -4.54
 -- None : 1.42
 -- right : -0.06
 -- left : -35.68

('right', 'green', 'left', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.64
 -- left : 0.00

('forward', 'green', None, 'left', 'left')
 -- forward : 1.71
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'left')
 -- forward : -4.55
 -- None : 1.16
 -- right : -0.23
 -- left : 0.00

('left', 'green', None, 'forward', 'forward')
 -- forward : 0.28
 -- None : -2.36
 -- right : 0.00
 -- left : 1.63

('forward', 'red', None, 'forward', 'left')
 -- forward : 0.00
 -- None : 0.49
 -- right : 0.99
 -- left : 0.00

('left', 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.61
 -- left : 0.00

('left', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- None : 1.46
 -- right : 0.00
 -- left : -4.80

('right', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.46
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'left', 'left')
 -- forward : 0.00
 -- None : 1.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'right', None)
 -- forward : 0.00
 -- None : 0.89
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.80
 -- left : 0.00

('forward', 'green', None, 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.40

('left', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.28

('left', 'red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- None : 1.73
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', None, 'forward')
 -- forward : -5.17
 -- None : 0.00
 -- right : 1.28
 -- left : -9.19

('left', 'green', 'left', 'right', 'left')
 -- forward : 1.05
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', None, 'right')
 -- forward : -20.04
 -- None : 1.29
 -- right : 0.00
 -- left : -20.42

('right', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.98

('left', 'red', 'right', 'left', None)
 -- forward : -5.28
 -- None : 1.35
 -- right : 0.56
 -- left : 0.00

('right', 'red', 'left', None, None)
 -- forward : -5.31
 -- None : -0.09
 -- right : 1.18
 -- left : -8.79

('forward', 'green', 'left', None, 'left')
 -- forward : 0.87
 -- None : -2.08
 -- right : 0.03
 -- left : 0.61

('right', 'red', 'left', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.53
 -- left : 0.00

('left', 'green', 'right', 'left', 'forward')
 -- forward : 0.00
 -- None : -2.38
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.43
 -- left : 0.00

('forward', 'green', None, 'forward', None)
 -- forward : 1.81
 -- None : -2.76
 -- right : 0.41
 -- left : 1.08

('forward', 'green', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.05
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.60
 -- left : 0.00

('right', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.29
 -- left : -19.63

('forward', 'green', 'right', 'right', None)
 -- forward : 0.00
 -- None : -2.62
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'right', 'left')
 -- forward : 0.00
 -- None : 0.30
 -- right : 0.00
 -- left : -4.53

('right', 'green', 'left', 'forward', 'right')
 -- forward : -0.23
 -- None : 0.00
 -- right : 0.00
 -- left : 0.26

('right', 'red', 'forward', None, 'right')
 -- forward : 0.00
 -- None : 0.82
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', None, None)
 -- forward : -30.01
 -- None : 2.08
 -- right : -9.71
 -- left : -34.51

('right', 'green', None, 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.68

('right', 'green', None, 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.80
 -- left : 0.00

('forward', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- None : -2.71
 -- right : 0.00
 -- left : 0.58

('left', 'green', 'forward', 'forward', 'right')
 -- forward : 0.54
 -- None : 0.00
 -- right : 0.00
 -- left : 1.22

('right', 'red', None, 'left', 'left')
 -- forward : -4.79
 -- None : 0.70
 -- right : 0.00
 -- left : -5.20

('right', 'green', 'right', 'left', 'forward')
 -- forward : 1.06
 -- None : -2.10
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'right', 'forward')
 -- forward : 0.68
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.60
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, None, 'left')
 -- forward : -9.39
 -- None : 1.58
 -- right : 1.16
 -- left : -9.98

('forward', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- None : 1.16
 -- right : 0.47
 -- left : -5.46

('right', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.18
 -- left : 0.00

('right', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.24
 -- right : -10.40
 -- left : 0.00

('forward', 'red', None, 'left', 'forward')
 -- forward : -5.30
 -- None : 0.78
 -- right : 1.14
 -- left : 0.00

('right', 'green', 'left', None, 'left')
 -- forward : 0.70
 -- None : -2.01
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'forward', None)
 -- forward : -30.55
 -- None : 1.98
 -- right : 0.88
 -- left : -19.54

('forward', 'red', 'left', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.00
 -- left : 0.00

('right', 'red', None, 'right', None)
 -- forward : -5.29
 -- None : 0.89
 -- right : 0.00
 -- left : -5.16

('right', 'green', None, None, 'forward')
 -- forward : 0.75
 -- None : -2.68
 -- right : 0.76
 -- left : 0.35

('forward', 'red', 'forward', None, 'left')
 -- forward : -19.71
 -- None : 0.86
 -- right : -9.86
 -- left : -20.50

('right', 'green', 'right', None, None)
 -- forward : 0.31
 -- None : -3.62
 -- right : 1.37
 -- left : 0.00

('forward', 'green', 'forward', None, 'forward')
 -- forward : 0.79
 -- None : -3.83
 -- right : 0.00
 -- left : 0.56

('forward', 'red', None, None, 'forward')
 -- forward : -8.89
 -- None : 2.30
 -- right : -0.25
 -- left : -9.69

('forward', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.54

('right', 'green', 'left', 'left', 'right')
 -- forward : 0.00
 -- None : -2.60
 -- right : 0.00
 -- left : 0.17

('left', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.21

('right', 'green', 'forward', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.87
 -- left : 0.00

('forward', 'green', 'forward', 'left', 'left')
 -- forward : 0.00
 -- None : -3.77
 -- right : 0.14
 -- left : 0.00

('right', 'green', 'left', 'forward', 'left')
 -- forward : 0.80
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', 'right', 'left')
 -- forward : -4.81
 -- None : 0.00
 -- right : 0.00
 -- left : -5.32

('left', 'green', 'right', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 2.10

('left', 'green', 'right', None, None)
 -- forward : 0.00
 -- None : -2.96
 -- right : 0.48
 -- left : 0.00

('left', 'green', 'forward', 'right', None)
 -- forward : 0.60
 -- None : 0.00
 -- right : 0.00
 -- left : 1.71

('left', 'green', None, None, 'forward')
 -- forward : -0.21
 -- None : -5.14
 -- right : 1.12
 -- left : 1.74

('forward', 'green', None, 'forward', 'left')
 -- forward : 1.24
 -- None : -2.01
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None, 'right')
 -- forward : 0.00
 -- None : -4.88
 -- right : 0.00
 -- left : 0.44

('left', 'green', None, 'left', 'right')
 -- forward : 0.23
 -- None : -2.79
 -- right : 0.00
 -- left : 1.66

('right', 'red', 'left', 'right', 'right')
 -- forward : 0.00
 -- None : 0.60
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.79
 -- left : 0.00

('right', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.74
 -- left : 0.00

('left', 'green', None, 'forward', None)
 -- forward : -0.05
 -- None : -2.83
 -- right : 0.51
 -- left : 2.12

('left', 'red', 'forward', None, 'left')
 -- forward : 0.00
 -- None : 1.55
 -- right : -10.29
 -- left : 0.00

('right', 'green', 'forward', None, 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 2.14
 -- left : 0.00

('right', 'green', 'forward', 'forward', 'right')
 -- forward : 0.92
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'right', 'right')
 -- forward : 0.00
 -- None : 1.01
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', None, None)
 -- forward : -29.93
 -- None : 0.60
 -- right : -9.90
 -- left : -20.41

('forward', 'red', None, 'left', None)
 -- forward : -8.80
 -- None : 0.00
 -- right : 0.80
 -- left : -8.35

('right', 'green', None, 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.54
 -- left : 0.50

('right', 'red', 'forward', None, 'forward')
 -- forward : 0.00
 -- None : 0.84
 -- right : 0.00
 -- left : -20.35

('forward', 'red', 'right', None, None)
 -- forward : 0.00
 -- None : 0.16
 -- right : 1.52
 -- left : 0.00

('right', 'red', None, None, None)
 -- forward : -9.84
 -- None : 0.79
 -- right : 1.43
 -- left : -9.73

('right', 'green', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.36
 -- left : 0.00

('forward', 'green', None, None, None)
 -- forward : 1.69
 -- None : -5.17
 -- right : 0.49
 -- left : 0.69

('forward', 'green', 'left', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -0.24

('right', 'green', 'right', None, 'forward')
 -- forward : -0.01
 -- None : 0.00
 -- right : 1.56
 -- left : -0.23

('right', 'green', 'left', None, 'forward')
 -- forward : 0.81
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'left', None, 'forward')
 -- forward : 1.88
 -- None : 0.00
 -- right : 0.00
 -- left : -0.03

('right', 'red', 'forward', 'left', None)
 -- forward : -20.18
 -- None : 0.40
 -- right : -15.46
 -- left : 0.00

('forward', 'green', 'right', None, None)
 -- forward : 0.00
 -- None : -2.90
 -- right : 0.53
 -- left : 0.11

('right', 'green', 'right', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.15
 -- left : 0.00

('left', 'green', 'forward', 'left', 'right')
 -- forward : 0.56
 -- None : 0.00
 -- right : 0.07
 -- left : 0.00

('left', 'red', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.12

('left', 'red', None, None, 'right')
 -- forward : -7.56
 -- None : 0.00
 -- right : 1.27
 -- left : -19.96

('left', 'green', 'left', 'right', None)
 -- forward : 0.99
 -- None : -2.33
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.96
 -- left : -19.78

('left', 'green', None, None, 'left')
 -- forward : 0.59
 -- None : -4.19
 -- right : 0.68
 -- left : 1.96

('forward', 'green', 'forward', 'left', None)
 -- forward : 1.55
 -- None : -2.97
 -- right : 0.00
 -- left : 0.19

('right', 'green', 'forward', 'right', None)
 -- forward : 0.17
 -- None : 0.00
 -- right : 0.00
 -- left : 1.47

('left', 'red', 'forward', 'forward', None)
 -- forward : 0.00
 -- None : 1.51
 -- right : 0.00
 -- left : -19.80

('forward', 'green', None, 'left', None)
 -- forward : 2.43
 -- None : -4.91
 -- right : 1.17
 -- left : 0.36

('left', 'green', 'right', 'right', 'left')
 -- forward : 0.38
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'right', 'left')
 -- forward : 0.00
 -- None : -2.89
 -- right : 0.00
 -- left : 0.90

('forward', 'red', None, 'right', None)
 -- forward : -5.43
 -- None : 1.90
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.53
 -- left : 0.00

('right', 'green', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.76

('forward', 'red', 'right', None, 'right')
 -- forward : 0.00
 -- None : 1.75
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, 'right')
 -- forward : 0.00
 -- None : -2.72
 -- right : 0.48
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -15.16
 -- left : -20.38

('right', 'red', 'left', 'left', None)
 -- forward : -4.72
 -- None : -0.30
 -- right : 1.86
 -- left : -4.93

('forward', 'red', None, None, 'left')
 -- forward : -9.95
 -- None : 1.69
 -- right : 0.32
 -- left : -7.11

('forward', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- None : 2.31
 -- right : 0.00
 -- left : -5.05

('forward', 'red', 'right', None, 'left')
 -- forward : -5.38
 -- None : 0.00
 -- right : 0.65
 -- left : 0.00

('forward', 'red', 'left', 'forward', None)
 -- forward : -20.19
 -- None : 0.00
 -- right : 0.62
 -- left : -19.64

('forward', 'red', None, 'forward', 'forward')
 -- forward : -29.84
 -- None : 1.00
 -- right : 0.00
 -- left : -20.41

('right', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, None, 'left')
 -- forward : -0.35
 -- None : -2.14
 -- right : 1.40
 -- left : 0.26

('left', 'green', 'left', 'forward', None)
 -- forward : -0.39
 -- None : -2.53
 -- right : 0.00
 -- left : 2.31

('left', 'red', 'left', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.23
 -- left : -20.24

('right', 'green', 'forward', None, None)
 -- forward : 0.36
 -- None : -2.96
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'left', None)
 -- forward : 1.25
 -- None : -2.45
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left', 'forward')
 -- forward : -4.96
 -- None : 0.00
 -- right : 0.54
 -- left : 0.00

('left', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.70
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'forward', None, 'forward')
 -- forward : -0.02
 -- None : 0.00
 -- right : 1.85
 -- left : 0.00

('left', 'red', 'forward', 'left', 'left')
 -- forward : -19.60
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'left', 'left')
 -- forward : 0.51
 -- None : -2.92
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.04
 -- left : 0.00

('right', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.00

('forward', 'red', None, 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.16
 -- left : -5.39

('right', 'red', None, None, 'left')
 -- forward : -8.26
 -- None : 0.32
 -- right : 1.24
 -- left : -8.85

('left', 'red', 'left', 'right', None)
 -- forward : -5.46
 -- None : 0.00
 -- right : 0.00
 -- left : -5.46

